Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
Other,,1994,,,"$215,000",,,,149 Starwood Dr 60490,,2,"1,330",,,,, 0, 0,,,,
"Detached Single Family, 2 Stories",,1971,Bolingbrook,,"$268,000",, 2,,7 Westchester Ct 60440,4.0,2.5,"2,500",,, 2, 1, 0, 0,,,," $6,443.34"
"Detached Single Family, 1 Story",,1997,Bolingbrook,,"$320,000",, 2, NEUQUA VALLEY HIGH SCHOOL,1897 Baldwin Way 60490,3.0,2,"1,882",,, 2,, 4, 14,,,," $6,750"
"Detached Single Family, 2 Stories",,2004,Bolingbrook,,"$350,000",, 3,,567 Barclay Dr 60440,4.0,2.5,"3,888",,, 2, 1, 8, 4,,,," $12,650.42"
"Detached Single Family, 2 Stories",$26/month,2004,Bolingbrook,,"$276,500",, 2, BOLINGBROOK HIGH SCHOOL,1 Catalpa Ct 60490,4.0,2.5,"2,470",,, 2, 1, 14, 8,,,," $11,205.54"
"Detached Single Family, 1.5 Story",,1973,Bolingbrook,,"$216,000",, 1,,870 Harris Dr 60440,4.0,2,950,,, 2,, 0, 0,,,," $4,252.60"
Condo,$150/month,1973,Bolingbrook,,"$122,000",, 1, BOLINGBROOK HIGH SCHOOL,223 Cherokee Dr 60440,2.0,1,968,,, 1,, 0, 8,,, 484," $1,739.70"
"Detached Single Family, 2 Stories",$26/month,2005,Bolingbrook,,"$319,000",, 2, BOLINGBROOK HIGH SCHOOL,255 Clubhouse St 60490,5.0,3.5,,,, 3, 1, 22, 0,,,," $10,508"
Single Family Residential,,1965,Bolingbrook,,"$212,500",, 1,,262 Seabury Rd 60440,5.0,2.5,"2,032", Natural Gas, Central Air, 2, 1, 0, 0, Full, Finished,,
"Detached Single Family, 2 Stories",$25/month,1999,Bolingbrook,,"$365,000",, 2, PLAINFIELD EAST HIGH SCHOOL,1416 Waterside Dr 60490,4.0,3,"2,700",,, 2, 2, 8, 8,,,," $9,243.24"
"Attached Single Family, Townhouse (2 Story)",$160/month,1992,Bolingbrook,,"$175,000",, 2,,173 W Robinhood Way 60440,3.0,2.5,"1,664",,, 2, 1, 10, 0,,,," $5,004.90"
"Attached Single Family, Townhouse (2 Story)",$145/month,1986,Bolingbrook,,"$125,000",, 2, BOLINGBROOK HIGH SCHOOL,2E Fernwood Dr 60440,3.0,1.5,"1,296",,, 1, 1, 6, 0,,,," $3,125.02"
"Detached Single Family, Split-Level",,1977,Bolingbrook,,"$204,500",, 2, BOLINGBROOK HIGH SCHOOL,301 Thistle Dr 60490,4.0,2.5,"1,900",,, 2, 1, 8, 0,,,," $5,057"
"Detached Single Family, 1 Story",,1970,Bolingbrook,,"$210,000",, 2, BOLINGBROOK HIGH SCHOOL,121 Newport Dr 60440,3.0,1.5,"1,600",,, 1, 1, 12, 0,,,," $5,090"
"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$219,100",, 1.5,,300 Monterey Dr 60440,3.0,2,"1,726",,, 2,, 0, 12,,,," $4,918"
"Detached Single Family, 2 Stories",$8/month,2004,Bolingbrook,,"$343,000",, 3, BOLINGBROOK HIGH SCHOOL,411 Palmer Dr 60490,4.0,2.5,"2,778",,, 2, 1, 6, 12,,,," $12,606.92"
Other,,1969,,,"$135,000",,,,168 Beaconridge Dr 60440,,1.5,"1,470",,,,, 0, 0,,,,
"Detached Single Family, 2 Stories",$22/month,2004,Bolingbrook,,"$320,000",, 3, BOLINGBROOK HIGH SCHOOL,378 Sweet Gum St 60490,4.0,3.5,"2,894",,, 3, 1, 14, 6,,,," $10,440"
"Detached Single Family, Split-Level",,1969,Bolingbrook,,"$175,000",, 1,,141 Olympic Dr 60440,3.0,1.5,"1,348",,, 1, 1, 0, 0,,,," $4,467"
"Detached Single Family, Raised Ranch",,1962,Bolingbrook,,"$175,000",, 2,,141 Oxford Rd 60440,6.0,2,"1,800",,, 2,, 6, 0,,,," $5,073.64"
"Detached Single Family, 2 Stories",,1979,Bolingbrook,,"$213,500",, 2, BOLINGBROOK HIGH SCHOOL,688 Niagara Dr 60440,3.0,2.5,"1,402",,, 2, 1, 0, 12,,,," $5,100.98"
"Detached Single Family, 1 Story",,1971,Bolingbrook,,"$96,000",, 2,,241 Creekside Dr 60440,3.0,1,864,,, 1,, 8, 0,,,," $1,980.92"
"Detached Single Family, Split-Level",,1974,Bolingbrook,,"$254,900",, 2,,404 N Pinecrest Rd 60440,5.0,3.5,"2,279",,, 3, 1, 10, 4,,,," $5,315.76"
Other,,2000,,,"$307,500",,,,663 Anne Ln 60440,,3.5,"2,332",,,,, 0, 0,,,,
"Attached Single Family, Townhouse (2 Story)",$160/month,1991,Bolingbrook,,"$148,000",, 1, BOLINGBROOK HIGH SCHOOL,404 Lakeview Cir 60440,2.0,2.5,"1,306",,, 2, 1, 4, 0,,,," $4,415.44"
"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$275,000",, 2,,445 Aristocrat Dr 60490,3.0,2.5,"1,900",,, 2, 1, 10, 10,,,," $7,586"
"Detached Single Family, 1 Story",,1964,Bolingbrook,,"$180,000",, 2, BOLINGBROOK HIGH SCHOOL,453 Rockhurst Rd 60440,3.0,2,"1,253",,, 2,, 8, 4,,,," $4,581.26"
"Detached Single Family, 2 Stories",,1987,Bolingbrook,,"$272,000",, 2, BOLINGBROOK HIGH SCHOOL,796 Bonnie Brae Ct 60440,4.0,3.5,"2,658",,, 3, 1, 12, 10,,,," $10,588.56"
"Detached Single Family, 2 Stories",,2005,Bolingbrook,,"$345,000",, 3,,336 Stonegate Rd 60440,5.0,3.5,"2,893",,, 3, 1, 16, 6,,,," $9,031.42"
"Attached Single Family, Townhouse (3+ Story)",$193/month,1993,Bolingbrook,,"$172,000",, 2, BOLINGBROOK HIGH SCHOOL,320 Rosebud Ct 60440,2.0,1.5,"1,314",,, 1, 1, 2, 0,,,," $3,350.54"
"Detached Single Family, 2 Stories",,1996,Bolingbrook,,"$307,500",, 3, BOLINGBROOK HIGH SCHOOL,520 Springwood Ln 60440,4.0,3.5,"2,348",,, 3, 1, 16, 4,,,," $8,129.36"
"Detached Single Family, 1 Story",,1975,Bolingbrook,,"$240,000",, 4,,201 Cheyenne Ct 60440,3.0,2,"1,740",,, 2,, 2, 0,,,," $5,594.98"
