Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
"Detached Single Family, 2 Stories",$15/month,2003,Bolingbrook,,"$259,000",, 2,,669 Blackhawk Ln 60440,4.0,2.5,"2,009",,, 2, 1, 8, 0,,,," $10,118", 8
"Attached Single Family, Townhouse (2 Story)",$180/month,1995,Bolingbrook,,"$210,000",, 2, Bolingbrook High School,375 Inner Cir Dr 60490,3.0,2.5,"1,813",,, 2, 1, 10, 0,,,," $5,272.58", 7
"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$254,000",, 2, Bolingbrook High School,979 Pennwood Ln 60440,4.0,2.5,"2,156",,, 2, 1, 12, 8,,,," $8,240.34", 11
"Attached Single Family, Townhouse (2 Story)",$231/month,2000,Bolingbrook,,"$215,000",, 2, Bolingbrook High School,1123 Lily Field Ln 60440,2.0,2.5,"1,916",,, 2, 1, 8, 0,,, 683," $5,602.94", 7
"Detached Single Family, Raised Ranch",,1973,Bolingbrook,,"$238,000",, 2, Bolingbrook High School,551 Cottonwood Cir 60440,4.0,3,"2,220",,, 3,, 10, 6,,,," $6,087.48", 8
"Detached Single Family, 2 Stories",$25/month,1999,Bolingbrook,,"$255,000",, 2,,1545 Schafer Ave 60490,4.0,2.5,"1,981",,, 2, 1, 16, 0,,,," $7,123", 8
"Attached Single Family, Townhouse (2 Story)",$145/month,1969,Bolingbrook,,"$165,000",, 2, Bolingbrook High School,402 Providence Ct 60440,4.0,2.5,"1,610",,, 2, 1, 2, 14,,,," $2,062.04", 9
"Detached Single Family, 2 Stories",,1976,Bolingbrook,,"$209,900",, 2,,302 Thistle Dr 60490,4.0,2.5,"1,900",,, 2, 1, 8, 0,,,," $6,187", 8
"Detached Single Family, 1 Story",,1973,Bolingbrook,,"$174,900",, 2,,213 Lexington Dr 60440,3.0,2,"1,262",,, 2,, 0, 0,,,," $5,790.16", 6
"Detached Single Family, 1 Story",,1984,Bolingbrook,,"$189,000",, 2, Bolingbrook High School,204 Janes Ave 60440,3.0,1,"1,322",,, 1,, 12, 0,,,," $5,848", 7
"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$265,000",, 2, Bolingbrook High School,437 Springwood Ln 60440,4.0,3.5,"1,758",,, 3, 1, 10, 0,,, 819," $7,331.56", 10
"Detached Single Family, 2 Stories",$17/month,2015,Bolingbrook,,"$395,000",, 3, Plainfield East High School,1866 Great Plains Way 60490,5.0,3.5,"2,780",,, 3, 1, 12, 14,,, 1472," $9,810", 12
"Detached Single Family, Split-Level with Sub-Basement",,1977,Bolingbrook,,"$211,000",, 2,,685 Kensington Way 60440,4.0,2.5,"2,199",,, 2, 1, 0, 0,,,," $7,048", 8
"Detached Single Family, 2 Stories",,1999,Bolingbrook,,"$254,000",, 2, Bolingbrook High School,748 Rebecca Ln 60440,4.0,2.5,"2,058",,, 2, 1, 14, 0,,,," $7,848.98", 8
"Detached Single Family, Split-Level",,1973,Bolingbrook,,"$220,015",, 2,,337 Falconridge Way 60440,3.0,2.5,"2,002",,, 2, 1, 8, 0,,,," $6,693", 7
"Detached Single Family, 2 Stories",$12/month,2003,Bolingbrook,,"$223,000",, 2, Bolingbrook High School,379 Deering Ln 60440,3.0,2.5,"1,614",,, 2, 1, 10, 0,,,," $9,125.48", 8
"Attached Single Family, Townhouse (2 Story)",$145/month,1968,Bolingbrook,,"$130,000",, 2,,426 Hallmark Ln 60440,2.0,1.5,"1,224",,, 1, 1, 6, 0,,,, $943.30, 4
"Attached Single Family, Townhouse (3+ Story)",$210/month,2006,Bolingbrook,,"$150,000",, 2, Bolingbrook High School,150 Enclave Cir 60440,2.0,1.5,"1,792",,, 1, 1, 10, 0,,,," $3,841", 7
"Attached Single Family, Townhouse (2 Story)",$145/month,1970,Bolingbrook,,"$162,000",, 2, Bolingbrook High School,404 Yorkshire Sq 60440,4.0,1.5,"1,610",,, 1, 1, 0, 12,,,," $2,392", 7
"Detached Single Family, 2 Stories",,1995,Bolingbrook,,"$312,000",, 2.5, Plainfield East High School,1352 Waterside Dr 60490,4.0,2.5,"2,000",,, 2, 1, 0, 18,,,," $7,000.72", 8
"Detached Single Family, Split-Level with Sub-Basement",,1976,Bolingbrook,,"$275,000",, 2,,210 Windsor Dr 60440,4.0,2.5,"2,610",,, 2, 1, 8, 0,,,," $7,696.20", 10
"Attached Single Family, Townhouse (2 Story)",$187/month,,Bolingbrook,,"$189,000",, 2, Bolingbrook High School,251 Porter Ln 60440,4.0,2.5,,,, 2, 1, 8, 0,,,," $4,700", 8
Single Family Residential,$12/month,2002,Lakewood Ridge,,"$283,860",, 3, Bolingbrook High School,243 Berkeley Dr 60440,5.0,2.5,"2,400"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Finished,,, 11
"Detached Single Family, 2 Stories",$16/month,2002,Bolingbrook,,"$325,000",, 3,,782 Barclay Dr 60440,4.0,4.5,"3,400",,, 4, 1, 16, 6,,,," $12,000", 12
"Detached Single Family, 1.5 Story",,1971,Bolingbrook,,"$206,000",, 2,,165 Plainview Dr 60440,4.0,2,"1,800",,, 2,, 8, 0,,,," $6,199", 7
"Detached Single Family, 1.5 Story",,1996,Bolingbrook,,"$278,000",, 2, Neuqua Valley High School,6 Timber Mill Ct 60490,3.0,2,"1,964",,, 2,, 14, 6,,, 0," $6,810.94", 10
"Detached Single Family, 2 Stories",,,Bolingbrook,,"$265,000",, 2,,1438 Hawk Dr 60490,4.0,2.5,"2,000",,, 2, 1, 14, 0,,,," $7,563", 8
"Attached Single Family, Townhouse (2 Story)",$193/month,1972,Bolingbrook,,"$191,000",, 2,,201 Diane Ln 60440,3.0,1.5,"1,180",,, 1, 1, 6, 0,,, 805," $3,852.30", 7
"Attached Single Family, Townhouse (Ranch)",$245/month,2019,Bolingbrook,,"$273,900",, 2,,1 Coral Gables Ct 60490,2.0,2,"1,459",,, 2,, 8, 0,,,,, 5
"Detached Single Family, Raised Ranch",,1977,Bolingbrook,,"$225,000",, 2, Bolingbrook High School,1121 Partridge Ave 60490,3.0,1.5,"1,748",,, 1, 1, 8, 6,,,," $5,283.68", 7
"Detached Single Family, 1 Story",,1962,Bolingbrook,,"$170,000",, 6, Bolingbrook High School,120 Cypress Dr 60440,3.0,2,"1,162",,, 2,, 8, 0,,,," $4,738.84", 6
"Detached Single Family, Raised Ranch",,1974,Bolingbrook,,"$217,000",, 1,,356 Falconridge Way 60440,3.0,2,"1,726",,, 2,, 0, 0,,,," $5,615", 7
"Detached Single Family, Split-Level",,1977,Bolingbrook,,"$285,000",, 2, South High School,672 Kensington Way 60440,3.0,2.5,"2,183",,, 2, 1, 10, 0,,,," $6,721", 7
"Detached Single Family, 1 Story",,1977,Bolingbrook,,"$171,500",, 2.5,,209 Far Hills Dr 60440,3.0,1,"1,125",,, 1,, 0, 0,,,," $3,180.78", 6
"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$240,000",, 2,,3 Parkside Ct 60490,3.0,2.5,"1,600",,, 2, 1, 0, 0,,,," $6,925.44", 7
"Detached Single Family, Split-Level with Sub-Basement",,1975,Bolingbrook,,"$200,000",, 2, Bolingbrook High School,480 Nassau Ave 60440,3.0,3,"2,050",,, 3,, 12, 0,,,," $5,244.18", 8
"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$248,000",, 2, Bolingbrook High School,1650 Hidden Valley Dr 60490,3.0,2.5,"1,710",,, 2, 1, 12, 4,,,," $7,839", 7
"Detached Single Family, Raised Ranch",,1992,Bolingbrook,,"$240,000",, 2,,276 Tecumseh Dr 60490,3.0,3,"2,012",,, 3,, 10, 8,,,," $7,156.74", 8
"Attached Single Family, Townhouse (2 Story)",$148/month,,Bolingbrook,,"$116,500",, 2,,404 Standish Ct 60440,4.0,1.5,"1,600",,, 1, 1, 8, 6,,,," $2,954", 8
"Detached Single Family, 2 Stories",,1973,Bolingbrook,,"$201,000",, 1, Bolingbrook High School,876 Lily Cache Ln 60440,5.0,2,,,, 2,, 0, 0,,,," $6,469", 8
"Detached Single Family, 2 Stories",$13/month,2004,Bolingbrook,,"$355,000",, 3, Bolingbrook High School,540 Barclay Dr 60440,4.0,2.5,"3,888",,, 2, 1, 10, 10,,,," $12,011", 9
"Detached Single Family, 2 Stories",$15/month,2003,Bolingbrook,,"$335,000",, 3, Bolingbrook High School,789 Hartford Ln 60440,4.0,2.5,"3,399",,, 2, 1, 8, 14,,,," $10,766.82", 10
"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$290,000",, 2.5, Bolingbrook High School,583 Warbler Dr 60440,5.0,4.5,"2,385",,, 4, 1, 16, 2,,,," $9,841.66", 10
"Attached Single Family, 1/2 Duplex",,1973,Bolingbrook,,"$145,000",, 1,,329 Kirkwood Cir 60440,3.0,2.5,"1,329",,, 2, 1, 6, 0,,,," $2,612", 6
"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$310,000",, 3,,10 Taylor Ct 60490,4.0,2.5,"2,112",,, 2, 1, 2, 0,,, 1112," $8,367.82", 9
"Detached Single Family, 1 Story",,1961,Bolingbrook,,"$169,900",, 1,,125 W Briarcliff Rd 60440,3.0,1.5,"1,372",,, 1, 1, 0, 0,,,," $4,122", 6
"Detached Single Family, 2 Stories",,1998,Bolingbrook,,"$291,000",, 2, Bolingbrook High School,186 Steamboat Ln 60490,4.0,2.5,"2,225",,, 2, 1, 8, 0,,,," $7,771.98", 9
Condo/Co-op,,1994,,,"$162,000",,,,309 Arbor Ct 60440,,1.5,"1,032",,,,, 0, 0,,,,,
"Detached Single Family, Split-Level with Sub-Basement",,1969,Naperville,,"$420,000",, 2, North High School,8411 Una Ave 60565,4.0,3,"2,684",,, 3,, 6, 10,,,," $11,808.10", 10
"Attached Single Family, Townhouse (2 Story)",,1979,Bolingbrook,,"$92,000",, 1,,215 Hywood Ln 60440,3.0,1.5,,,, 1, 1, 0, 0,,,," $2,474.36", 7
"Detached Single Family, Split-Level",,1972,Bolingbrook,,"$219,900",, 2,,258 Blackberry Dr 60440,4.0,2,"1,800",,, 2,, 0, 0,,,," $5,190", 8
"Detached Single Family, 2 Stories",,1993,Bolingbrook,,"$203,500",, 2, BOLINGBROOK HIGH SCHOOL,188 Penny Ln 60440,3.0,2.5,"1,608",,, 2, 1, 12, 0,,,," $6,979", 7
"Detached Single Family, Raised Ranch",,1972,Bolingbrook,,"$175,000",, 2,,118 E Robinhood Way 60440,4.0,2,"1,826",,, 2,, 10, 0,,,," $5,217.66", 9
Other,,1972,,,"$81,633",,,,240 Chippewa Ct 60440,3.0,2,"1,010",,,,, 0, 0,,,,, 6
"Detached Single Family, 1 Story",,1962,Bolingbrook,,"$140,000",, 2,,162 Queenswood Rd 60440,4.0,1.5,"1,163",,, 1, 1, 0, 0,,,," $4,020", 7
"Detached Single Family, 2 Stories",,1994,Bolingbrook,,"$339,900",, 2, Neuqua Valley High School,143 Ashcroft Dr 60490,4.0,2.5,"2,424",,, 2, 1, 12, 6,,,," $7,686.50", 9
Condo,$180/month,1998,Bolingbrook,,"$177,000",, 2,,212 Canterbury Ln 60440,2.0,2,"1,312",,, 2,, 0, 10,,,," $3,467.02", 6
"Attached Single Family, Townhouse (2 Story)",$193/month,1973,Bolingbrook,,"$169,000",, 1,,517 Dubois Cir 60440,2.0,2.5,"1,320",,, 2, 1, 6, 0,,,," $3,415.92", 6
"Detached Single Family, 2 Stories",$29/month,2013,Bolingbrook,,"$328,000",, 3,,1270 Winding Way 60490,3.0,2.5,"2,255",,, 2, 1, 8, 4,,,," $7,296", 8
"Detached Single Family, 2 Stories",,1992,Bolingbrook,,"$235,000",, 2,,6 Pembrook Ct 60440,2.0,1.5,"1,386",,, 1, 1, 0, 0,,,," $6,259", 7
"Detached Single Family, Raised Ranch",,1975,Bolingbrook,,"$239,900",, 2.5, Bolingbrook High School,541 Castle Ct 60440,3.0,1.5,"1,755",,, 1, 1, 8, 0,,,," $5,432", 7
Condo,$50/month,1973,Bolingbrook,,"$105,000",, 1,,329 Grand Canyon Dr 60440,2.0,1.5,"1,100",,, 1, 1, 6, 0,,,," $2,922", 4
"Detached Single Family, Split-Level",,1976,Bolingbrook,,"$189,000",, 2,,258 Windsor Dr 60440,3.0,2.5,"2,140",,, 2, 1, 0, 0,,,," $6,372.46", 8
Other,,1994,,,"$356,000",,,,637 Cleavland Dr 60440,,2,"1,414",,,,, 0, 0,,,,,
"Detached Single Family, Raised Ranch",,,Bolingbrook,,"$255,000",, 3, Bolingbrook High School,304 Lancelot Way 60440,4.0,2,"2,100",,, 2,, 12, 4,,,," $6,180", 8
Other,,1972,,,"$100,000",,,,8 Fernwood Dr 60440,,,880,,,,, 0, 0,,,,,
