Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
Townhouse,$260/month,2019,Bella Vista,,"$328,900",, 2,,1299 Balboa Cir 60490,2.0,2,"1,785"," Natural Gas, Forced Air", Central Air, 2,, 0, 0, Full, Unfinished,,, 7
Other,,2002,,,"$366,888",,,,1593 Glenside Dr 60490,,2.5,"2,154",,,,, 0, 0,,,,,
Townhouse,$104/month,1977,Pine Meadows,,,, 1, Bolingbrook High School,9 Fernwood Dr 60440,3.0,1,924," Natural Gas, Forced Air", Central Air, 1,, 6, 0,, None,," $2,564", 5
Single Family Residential,$29/month,2005,Augusta Village,,,, 2, Bolingbrook High School,6 Tiger Ct 60490,4.0,2.5,"2,470"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 10, Full, Unfinished,," $9,203", 10
Condo,,1972,Bolingbrook,,"$167,000",, 2,,231 Calumet Ct 60440,3.0,1,971," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $2,309.24", 6
Single Family Residential,,1981,Indian Boundary,,"$292,000",, 2, Bolingbrook High School,191 N Canyon Dr 60490,3.0,1.5,"1,678", Natural Gas, Space Pac, 1, 1, 0, 0, Partial, Finished, 342," $5,694.08", 8
Single Family Residential,,1980,Heritage Heights,,,, 2, Bolingbrook High School,271 Mayflower Ln 60490,3.0,2.5,"1,742", Natural Gas, Central Air, 2, 1, 12, 0,, Crawl,," $8,455.26", 7
Single Family Residential,,1970,Indian Oaks,,"$295,000",, 2, Bolingbrook High School,136 S Lancaster Dr 60440,4.0,2,"2,200"," Natural Gas, Forced Air", Central Air, 2,, 2, 0,, None,," $6,154.42", 8
Single Family Residential,,1995,Hickory Oaks,,"$345,000",, 2, Neuqua Valley High School,1714 Maroon Bells Ln 60490,4.0,2.5,"2,213"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 2, Full, Unfinished,," $8,360.90", 9
Townhouse,$245/month,2020,Bella Vista,,,, 2,,1303 Balboa Cir 60490,2.0,2,"1,459"," Natural Gas, Forced Air", Central Air, 2,, 10, 0, Full, Unfinished,,, 6
Single Family Residential,,1963,,,"$268,000",,,,237 Thornhurst Rd 60440,5.0,2,"1,750",,,,, 0, 0,,,,, 9
Single Family Residential,,1976,Bolingbrook,,"$235,500",, 2.5, Bolingbrook High School,201 Bunker Hill Dr 60440,3.0,1,"1,125", Natural Gas, Central Air, 1,, 0, 0,, None,," $3,840", 5
