Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount
"Detached Single Family, Split-Level",,1969,Naperville,,"$364,000",, 2, NAPERVILLE CENTRAL HIGH SCHOOL,205 Green Valley Dr 60540,3.0,2.5,"1,892",,, 2, 1, 8, 6,,,," $6,176"
"Detached Single Family, Split-Level with Sub-Basement",,1983,Naperville,,"$420,000",, 2,,116 Quail Hollow Ct 60540,3.0,2,"2,001",,, 2,, 12, 8,,,," $7,719"
"Detached Single Family, Split-Level",,1975,Naperville,,"$303,984",, 2.5, NAPERVILLE CENTRAL HIGH SCHOOL,532 Sheffield Rd 60565,3.0,2,"1,658",,, 2,, 12, 4,,,," $6,579.72"
"Attached Single Family, Townhouse (2 Story)",$247/month,1994,Naperville,,"$265,500",, 2, NEUQUA VALLEY HIGH SCHOOL,3912 Vesper Ct 60564,3.0,2.5,"1,814",,, 2, 1, 12, 4,,, 893," $5,155"
"Attached Single Family, Townhouse (3+ Story)",$228/month,2017,Naperville,,"$369,990",, 2, METEA VALLEY HIGH SCHOOL,817 Paisley Ct 60540,3.0,2.5,"2,123",,, 2, 1, 6, 0,,,,
"Attached Single Family, Townhouse (3+ Story)",$260/month,1998,Naperville,,"$305,000",, 2, NAPERVILLE NORTH HIGH SCHOOL,759 Prescott Ct 60563,2.0,3,"1,818",,, 2, 2, 4, 8,,,," $7,073"
"Attached Single Family, Townhouse (2 Story)",$240/month,1978,Naperville,,"$219,000",, 1, Metea Valley High School,30W617 Fairway Dr 60563,4.0,2.5,"1,595",,, 2, 1, 0, 0,,,," $3,995"
Condo,$307/month,1979,Naperville,,"$200,000",, 2, NAPERVILLE NORTH HIGH SCHOOL,1132 Iroquois Ave 60563,3.0,2,"1,724",,, 2,, 10, 0,,,," $3,560.28"
"Detached Single Family, 2 Stories",,1999,Naperville,,"$750,000",, 4, WAUBONSIE VALLEY HIGH SCHOOL,3512 White Eagle Dr 60564,5.0,5,"5,631",,, 4, 2, 28, 8,,, 2156," $17,644"
"Detached Single Family, 2 Stories",,1984,Naperville,,"$317,000",, 2, NAPERVILLE CENTRAL HIGH SCHOOL,2014 University Dr 60565,4.0,2.5,"1,585",,, 2, 1, 6, 0,,,," $5,848.20"
"Detached Single Family, 1 Story",,1978,Naperville,,"$260,000",, 2, METEA VALLEY HIGH SCHOOL,1744 Paddington Ave 60563,3.0,1.5,"1,234",,, 1, 1, 10, 0,,,," $4,502.52"
"Attached Single Family, Townhouse (2 Story)",$277/month,1990,Naperville,,"$183,500",, 1, NAPERVILLE CENTRAL HIGH SCHOOL,1967 Lancaster Ct 60565,3.0,2.5,"1,269",,, 2, 1, 6, 0,,, 567," $3,331.42"
Condo,$380/month,1979,Naperville,,"$135,000",, 1, NAPERVILLE NORTH HIGH SCHOOL,1041 N Mill St 60563,2.0,2,"1,080",,, 2,, 8, 0,,,," $1,500"
Single Family Residential,,,,,"$556,500",,,,1467 Bayou Path Dr 60563,,,,,,,, 0, 0,,,,
"Detached Single Family, 2 Stories",$43/month,1991,Naperville,,"$440,000",, 2, NEUQUA VALLEY HIGH SCHOOL,3204 Barnes Ln 60564,6.0,3.5,"3,024",,, 3, 1, 20, 6,,,," $10,890"
"Detached Single Family, 1 Story",,1955,Naperville,,"$377,500",, 2, NAPERVILLE NORTH HIGH SCHOOL,539 E 8th Ave 60563,3.0,2,"1,888",,, 2,, 2, 12,,,," $7,111"
"Detached Single Family, 2 Stories",,1975,Naperville,,"$399,900",, 2, NAPERVILLE NORTH HIGH SCHOOL,524 Menominee Ln 60563,4.0,2.5,"2,440",,, 2, 1, 16, 4,,,," $8,577.48"
"Detached Single Family, 2 Stories",,1977,Naperville,,"$340,000",, 2, METEA VALLEY HIGH SCHOOL,5S524 Gordon Ter 60563,4.0,3.5,"2,065",,, 3, 1, 12, 12,,,," $5,481.36"
"Detached Single Family, 2 Stories",$55/month,2018,Naperville,,"$675,000",, 3, WAUBONSIE VALLEY HIGH SCHOOL,4539 Shumard Ln 60564,5.0,4,"3,600",,, 4,, 14, 10,,,," $4,482"
