Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
"Detached Single Family, 2 Stories",$87/month,1993,Naperville,,"$550,000",, 3, Waubonsie Valley High School,3523 Monarch Cir 60564,4.0,3,"3,679",,, 3,, 10, 14,,,," $13,408.60", 12
"Detached Single Family, Raised Ranch",,1971,Naperville,,"$384,000",, 2, Naperville Central High School,353 Cottonwood Ln 60540,3.0,2,"2,332",,, 2,, 6, 0,,,," $7,321", 8
Condo,$342/month,1980,Naperville,,"$105,000",, 1,,1673 Ishnala Dr 60565,2.0,1,958,,, 1,, 0, 2,,,," $1,197", 4
"Attached Single Family, Townhouse (2 Story)",$210/month,1992,Naperville,,"$268,000",, 2, Naperville North High School,1124 Wickfield Ct 60563,2.0,2.5,"1,253",,, 2, 1, 4, 2,,,," $4,879", 5
"Detached Single Family, 2 Stories",$29/month,2007,Plainfield,,"$575,000",, 3, Neuqua Valley High School,11526 Century Cir 60585,5.0,4.5,"3,566",,, 4, 1, 18, 8,,,," $15,743", 13
"Detached Single Family, Split-Level with Sub-Basement",$46/month,1976,Naperville,,"$285,000",, 2, Naperville North High School,24W780 Sierra Ln 60540,4.0,2,"1,620",,, 2,, 0, 18,,,," $5,986.12", 8
"Attached Single Family, Townhouse (2 Story)",$293/month,2005,Naperville,,"$345,000",, 2, Neuqua Valley High School,972 Winner s Cup Ct 60565,3.0,3.5,"2,081",,, 3, 1, 14, 8,,, 1216," $6,583.08", 9
"Detached Single Family, 2 Stories",$17/month,1997,Naperville,,"$420,000",, 2.5, Neuqua Valley High School,5084 Switch Grass Ln 60564,4.0,2.5,"2,550",,, 2, 1, 14, 6,,,," $9,509", 9
"Detached Single Family, Split-Level",$46/month,1972,Naperville,,"$350,000",, 2, Naperville North High School,5S710 Ridgeview Ln 60540,3.0,2,"1,866",,, 2,, 0, 14,,,," $6,247.46", 7
Condo,$358/month,1972,Naperville,,"$112,000",, 2, Naperville Central High School,154 E Bailey Rd 60565,2.0,1.5,927,,, 1, 1, 0, 0,,,," $1,324.74", 5
Condo,$418/month,1996,Naperville,,"$280,000",, 2,,544 Harlowe Ln 60565,3.0,3.5,"2,006",,, 3, 1, 8, 10,,,," $7,220", 8
"Detached Single Family, 2 Stories",$22/month,2005,Naperville,,"$475,000",, 3, Neuqua Valley High School,2947 Forest Creek Ln 60565,4.0,3.5,"4,253",,, 3, 1, 12, 12,,,," $13,028.82", 12
Single Family Residential,,2019,,,"$547,815",,,,4211 Chinaberry Ln 60564,4.0,2.5,"3,210",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",$4/month,1978,Naperville,,"$395,000",, 2, Naperville North High School,1019 Creekside Cir 60563,4.0,2.5,"2,787",,, 2, 1, 14, 6,,, 0," $10,644", 10
"Detached Single Family, 2 Stories",,1984,Naperville,,"$380,000",, 2, Naperville Central High School,1136 Catalpa Ln 60540,5.0,2.5,"2,374",,, 2, 1, 4, 20,,,," $7,771.88", 11
Single Family Residential,,1955,,,"$287,000",,,,5S625 Vest Ave 60563,3.0,1.5,"1,280",,,,, 0, 0,,,,, 5
Single Family Residential,,1965,,,"$212,000",,,,5S381 Scots Dr 60563,3.0,1.5,"1,104",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",$55/month,2011,Naperville,,"$583,000",, 3, Neuqua Valley High School,4139 Callery Rd 60564,6.0,4.5,"3,750",,, 4, 1, 16, 12,,,," $14,549.62", 12
"Detached Single Family, 2 Stories",,1973,Naperville,,"$415,000",, 2, Naperville Central High School,1625 Warbler Dr 60565,4.0,2.5,"1,992",,, 2, 1, 10, 10,,, 972," $7,201.58", 9
"Detached Single Family, Split-Level",,1963,Naperville,,"$445,000",, 2, Naperville North High School,1132 Royal St George Dr 60563,5.0,3,"2,800",,, 3,, 6, 6,,,," $8,227.76", 9
"Detached Single Family, 2 Stories",$117/month,2016,Naperville,,"$742,500",, 3, Waubonsie Valley High School,4243 Honey Locust Dr 60564,5.0,5.5,"3,655",,, 5, 1, 16, 14,,,," $15,624.82", 15
Condo/Co-op,,2003,,,"$173,000",,,,2806 Vernal Ln 60564,,1.5,"1,137",,,,, 0, 0,,,,,
"Detached Single Family, 2 Stories",$16/month,1999,Naperville,,"$430,000",, 2, Neuqua Valley High School,2804 Fairhauser Ct 60564,4.0,3.5,"2,536",,, 3, 1, 18, 8,,,," $10,075.88", 11
Condo,$246/month,1981,Naperville,,"$185,000",, 1, Naperville North High School,1104 Iroquois Ave 60563,2.0,1.5,"1,065",,, 1, 1, 8, 0,,, 0," $2,372.62", 5
Single Family Residential,,1976,,,"$428,333",,,,921 Canonero Dr 60540,4.0,2.5,"2,392",,,,, 0, 0,,,,, 9
"Detached Single Family, 2 Stories",,1999,Naperville,,"$677,000",, 3, Naperville North High School,1316 Dunrobin Rd 60540,6.0,5,"4,151",,, 5,, 16, 8,,,," $17,359.98", 13
"Attached Single Family, Townhouse (2 Story)",$245/month,2003,Naperville,,"$195,000",, 2, Neuqua Valley High School,2849 Vernal Ln 60564,2.0,1.5,"1,271",,, 1, 1, 4, 8,,,," $4,387.64", 5
"Attached Single Family, Townhouse (Tri-Level)",$223/month,2018,Naperville,,"$299,990",, 2, Metea Valley High School,905 Bradford Dr 60563,3.0,2.5,"1,758",,, 2, 1, 8, 0,,,,, 7
"Detached Single Family, 2 Stories",$15/month,1995,Naperville,,"$400,000",, 2, Neuqua Valley High School,2112 Sand Island Ct 60564,4.0,2.5,"2,349",,, 2, 1, 10, 10,,,," $9,096.54", 9
"Detached Single Family, Split-Level",,1961,Naperville,,"$299,000",, 2, Metea Valley High School,5S405 Scots Dr 60563,4.0,2,"1,900",,, 2,, 6, 14,,, 0," $4,216.94", 8
Condo,$402/month,1979,Naperville,,"$122,000",, 2, Naperville North High School,1041 W Ogden Ave 60563,2.0,2,"1,050",,, 2,, 6, 0,,,," $1,731", 5
"Detached Single Family, 2 Stories",$15/month,1995,Naperville,,"$352,000",, 2, Neuqua Valley High School,2024 Engle Rd 60564,4.0,2.5,"2,219",,, 2, 1, 12, 0,,,," $8,509", 8
"Detached Single Family, 2 Stories",$21/month,2004,Naperville,,"$415,000",, 3, Plainfield North High School,5520 Bergamot Ln 60564,4.0,2.5,"3,049",,, 2, 1, 16, 8,,, 1552," $11,756", 10
"Detached Single Family, 2 Stories",$68/month,1994,Naperville,,"$527,000",, 3, Neuqua Valley High School,724 Gateshead Dr 60565,4.0,4.5,"3,500",,, 4, 1, 4, 18,,,," $12,923.60", 11
Condo,$380/month,1972,Naperville,,"$118,000",, 2,,204 E Bailey Rd 60565,2.0,1.5,980,,, 1, 1, 2, 0,,,," $1,831.64", 5
"Attached Single Family, Townhouse (2 Story)",$315/month,1992,Naperville,,"$235,000",, 2, Naperville Central High School,503 Orleans Ave 60565,3.0,2.5,"1,631",,, 2, 1, 10, 0,,,," $4,678", 6
"Detached Single Family, 2 Stories",,1997,Naperville,,"$347,000",, 2.5,,2123 Skylane Dr 60564,3.0,2.5,"1,802",,, 2, 1, 6, 10,,, 1100," $7,353", 7
"Detached Single Family, 2 Stories",$19/month,1995,Naperville,,"$438,000",, 3, Neuqua Valley High School,2315 Indian Grass Rd 60564,4.0,2.5,"2,812",,, 2, 1, 12, 8,,,," $10,743.60", 9
"Attached Single Family, Townhouse (2 Story)",$260/month,2015,Naperville,,"$364,000",, 2, Metea Valley High School,2986 Henley Ln 60540,3.0,2.5,"1,922",,, 2, 1, 6, 8,,, 802," $7,499.90", 6
"Detached Single Family, 2 Stories",$21/month,2004,Naperville,,"$395,000",, 3, Plainfield North High School,5624 Bergamot Ct 60564,4.0,2.5,"2,953",,, 2, 1, 20, 0,,,," $11,909.94", 11
Condo/Co-op,,2001,,,"$171,500",,,,2927 Rutland Cir 60564,,2,"1,139",,,,, 0, 0,,,,,
