Property Type,HOA Dues,Year Built,Community,List Price,housingprice,Est. Mo. Payment,# Of Cars,High School,address,beds,baths,sqft,Heating,Cooling,# of Baths (Full),# of Baths (1/2),# of carpet,# of hardwood,Basement,Basement Description,Basement Sq. Ft.,Tax Annual Amount,# of Rooms
Townhouse,$325/month,1993,Willowcreek,,,, 2, Naperville North High School,327 Camarie Ct 60540,3.0,2.5,"1,641"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 10, Full, Partially Finished,," $5,920.40", 8
Townhouse,$280/month,2015,Mayfair,,,, 2, Metea Valley High School,2952 Henley Ln 60540,3.0,2.5,"2,366", Natural Gas, Central Air, 2, 1, 8, 8," Full, English"," Finished,Bathroom Rough-In,Storage Space",," $8,702.56", 7
Single Family Residential,,1983,,,"$671,000",,,,1320 Auburn Ave 60565,,2.5,"1,628",,,,, 0, 0,,,,,
Single Family Residential,,1996,Naperville,,"$467,000",, 2, Neuqua Valley High School,2728 Flagstone Cir 60564,4.0,2.5,"2,424", Natural Gas, Central Air, 2, 1, 2, 0, Partial," Finished,Crawl",," $9,686.22", 9
Single Family Residential,,1987,,,"$414,100",,,,2453 Newport Dr 60565,,2,"1,403",,,,, 0, 0,,,,,
Single Family Residential,,1968,Cress Creek,,,, 2, Naperville North High School,1052 Summit Hills Ln 60563,4.0,2.5,"2,262", Natural Gas, Central Air, 2, 1, 0, 22, Full, Partially Finished,," $9,202", 11
Other,,1994,,,"$430,000",,,,2612 Snowbird Ln 60564,,2.5,"2,338",,,,, 0, 0,,,,,
Single Family Residential,,,,,"$353,000",,,,906 Charlton Ln 60563,,,,,,,, 0, 0,,,,,
Townhouse,$300/month,1980,Bennington,,,, 2.1, Naperville North High School,598 Windham Ln 60563,3.0,3.5,"1,913"," Natural Gas, Forced Air", Central Air, 3, 1, 8, 6, Full," Finished,Rec/Family Area",," $7,827", 7
Single Family Residential,,1980,Old Farm,,,, 4, Naperville Central High School,2296 Pontiac Cir 60565,4.0,2.5,"2,116"," Natural Gas, Forced Air", Central Air, 2, 1, 8, 0, Partial," Finished,Crawl", 500," $8,063.24", 11
Condo,$240/month,1985,Chantecleer Lakes,,,, 1, Waubonsie Valley High School,1324 McDowell Rd 60563,1.0,1,675," Natural Gas, Forced Air", Central Air, 1,, 0, 8,, None,," $2,108.04", 4
Condo,$308/month,1981,Willowbend,,"$170,000",, 1, Metea Valley High School,5S541 Paxton Dr 60563,2.0,1,"1,035"," Natural Gas, Forced Air", Central Air, 1,, 0, 2,, None,," $2,657.16", 5
Single Family Residential,,1979,,,"$591,000",,,,846 Waverly Ct 60563,4.0,2.5,"2,578",,,,, 0, 0,,,,, 9
Condo/Co-op,,1977,,,"$138,000",,,,515 Kiowa Cir 60565,,1,958,,,,, 0, 0,,,,, 2
Single Family Residential,$4/month,1988,Winding Creek,,,, 2, Naperville Central High School,524 Prairie Knoll Dr 60565,4.0,2.5,"2,774", Forced Air, Central Air, 2, 1, 18, 8, Full," Partially Finished,Crawl,Rec/Family Area,Storage Space"," 1,216"," $9,343.14", 12
Single Family Residential,$4/month,1987,Winding Creek,,,, 3, Naperville Central High School,1425 Terrance Dr 60565,4.0,2.5,"3,596"," Natural Gas, Forced Air", Central Air, 2, 1, 10, 10, Full, Unfinished,," $10,474.78", 10
Townhouse,$285/month,1997,Carrolwood,,,, 1, Metea Valley High School,2522 Arcadia Cir 60540,2.0,2.5,"1,324"," Natural Gas, Electric", Central Air, 2, 1, 10, 0,, None,," $3,986.80", 5
Single Family Residential,,1913,Naperville,,,, 2, Naperville North High School,216 Douglas Ave 60540,4.0,3.5,"3,313", Natural Gas," Central Air, Zoned", 3, 1, 0, 2, Full, Partially Finished," 1,690"," $16,111.36", 9
Townhouse,$160/month,1990,Country Lakes,,"$225,000",, 2, Metea Valley High School,1640 Hilton Head Dr 60563,3.0,2.5,"1,524"," Natural Gas, Forced Air", Central Air, 2, 1, 0, 0, Full, Unfinished,," $5,221", 6
Townhouse,$325/month,1989,Orleans,,"$350,000",, 2, Naperville Central High School,1726 Napoleon Dr 60565,3.0,2.5,"2,258", Natural Gas, Central Air, 2, 1, 2, 2, Full, Unfinished,," $6,027.90", 8
Single Family Residential,,1984,Naperville,,"$630,000",, 2, Naperville Central High School,1091 Pomona Ct 60540,4.0,2.5,"3,000", Natural Gas, Central Air, 2, 1, 0, 0, Full, Finished,," $11,431.14", 9
Condo/Co-op,,1999,,,"$240,000",,,,2827 Stonewater Dr 60564,,2.5,"1,334",,,,, 0, 0,,,,,
Townhouse,$250/month,1999,Naperville,,"$310,000",, 2, Waubonsie Valley High School,3110 Crystal Rock Rd 60564,4.0,2.5,"1,975", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,," $6,279", 7
Single Family Residential,,,Naperville,,"$389,000",,, Naperville North High School,521 N Loomis St 60563,4.0,2,"1,550"," Natural Gas, Forced Air", Central Air, 2,, 0, 0, Full, Partially Finished,," $7,543", 8
Condo,$295/month,1985,Chantecleer Lakes,,"$145,000",, 1, Waubonsie Valley High School,1569 Raymond Dr 60563,2.0,1,888," Natural Gas, Forced Air", Central Air, 1,, 0, 0,, None,," $2,858", 5
Single Family Residential,,1984,Campus Green,,,, 2, Naperville Central High School,1720 E Bailey Rd 60565,4.0,2.5,," Natural Gas, Forced Air", Central Air, 2, 1, 16, 2, Full, Finished,," $8,458.16", 9
Condo,$323/month,1994,Willowbend,,"$186,000",, 2, Metea Valley High School,5S530 Scots Dr 60563,2.0,2,"1,188"," Natural Gas, Forced Air", Central Air, 2,, 0, 0,, None,," $3,463.24", 5
Single Family Residential,,1967,Saybrook,,,, 2, Naperville North High School,13 Greenbriar Ct 60563,4.0,3.5,"2,778"," Natural Gas, Forced Air", Central Air, 3, 1, 4, 22, Partial, Finished," 1,105"," $11,232.88", 11
Single Family Residential,,2022,Maple Knoll Farm,,,, 2, Naperville North High School,1027 E Bauer Rd 60563,3.0,2.5,"2,690", Natural Gas, Central Air, 2, 1, 0, 0, Full, Unfinished,," $5,042.52", 6
Single Family Residential,,1988,Countryside,,,, 2,,821 S River Rd 60540,4.0,2.5,"2,993", Natural Gas, Central Air, 2, 1, 2, 2, Full, Partially Finished," 1,478"," $12,004.98", 12
Single Family Residential,$8/month,1988,Naperville,,"$505,000",, 2, Naperville Central High School,1685 Estate Cir 60565,4.0,3.5,"2,257", Natural Gas, Central Air, 3, 1, 0, 0, Full, Finished, 974," $7,539.52", 9
